Species3;Family3;Order3;Clade;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;Species.Status
Caprimulgus fraenatus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;18,5;6;4,3;2,8;18,9;162;74,6;87,4;46;109;59,73;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Aerial;-4,55;15,62;1,3;37,33796206;543293,67;Extant
Caprimulgus heterurus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;16,1;6,9;4,6;3,1;13,8;138,9;52;86,9;37,4;94,4;37;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;5,75;12,46;8,19;-69,58831367;303524,41;Extant
Caprimulgus hirundinaceus;Caprimulgidae;Caprimulgiformes;NA;8;2;4;2;3;11,6;5,3;3,7;2,5;14,1;124,2;43,5;80,7;35;87,5;32;Updated_literature;BoW;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Aerial;-17,96;-4,03;-9,77;-40,28385563;677679;Extant
Caprimulgus indicus;Caprimulgidae;Caprimulgiformes;NA;29;13;16;0;8;21,2;7,7;4,9;3,1;14,4;184,5;95,8;95,4;50,1;125,4;91,59;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Generalist;6,03;55,67;34,93;109,4162611;9557982,13;Extant
Caprimulgus inornatus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;18,4;6,2;4,2;2,5;17,1;153,2;74,8;78,4;48,8;108,5;50,26;Dunning;NA;NO;NA;NA;Grassland;3;1;Carnivore;Invertivore;Generalist;3,36;21,55;13,11;20,38391425;3310936,5;Extant
Caprimulgus longirostris;Caprimulgidae;Caprimulgiformes;NA;16;7;9;0;12;21,2;8,4;4,7;3;16;151,6;72,6;78;48,2;111,4;45,6;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Insessorial;-55,72;11,15;-28,91;-65,57230774;4578013,54;Extant
Caprimulgus macrurus;Caprimulgidae;Caprimulgiformes;NA;8;5;3;0;8;20,9;7,1;4,7;3,3;14,5;180,8;84,2;96,6;46,6;122,4;66,2;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Generalist;-26,7;34,19;7,53;110,8793043;5762030,12;Extant
Caprimulgus maculicaudus;Caprimulgidae;Caprimulgiformes;NA;4;3;0;1;4;17,5;7,6;4;2,6;13,7;128,8;58,6;70,2;45,5;88,2;30,3;Dunning;NA;NO;NA;NA;Grassland;3;1;Carnivore;Invertivore;Insessorial;-26,89;18,87;-11,2;-56,64177685;3375852,78;Extant
Caprimulgus maculosus;Caprimulgidae;Caprimulgiformes;NA;1;0;1;0;1;18,8;6,5;4,9;1,6;17,7;139;61,5;77,5;44,2;131;47;Inferred;NA;YES;Body Mass;Setopagis whitelyi;Forest;2;NA;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Caprimulgus madagascariensis;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;12,6;5,7;4,3;2,6;15,5;152;74,5;77,5;49;104;41,1;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Aerial;-25,61;-9,34;-19,38;46,69889224;591293,27;Extant
Caprimulgus mahrattensis;Caprimulgidae;Caprimulgiformes;NA;5;3;2;0;4;15,5;5,8;3,9;2,8;20,3;169,4;78,5;90,5;46,4;104,4;57;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Aerial;23,17;35,28;28,83;67,09155959;1082828,68;Extant
Caprimulgus manillensis;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;18,8;7,6;5,9;3;16,2;170,2;82;88,2;48,1;120;70,3;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;5,56;18,65;11,85;123,0935138;269038,47;Extant
Caprimulgus meesi;Caprimulgidae;Caprimulgiformes;NA;1;0;1;0;1;20,2;6,3;3,8;3;14,9;168,1;67,4;100,7;40,1;119,7;66,2;Dunning;NA;NO;NA;NA;NA;NA;NA;Carnivore;Invertivore;Aerial;-10,32;-8,07;-8,98;121,1958242;29495,98;Extant
Caprimulgus natalensis;Caprimulgidae;Caprimulgiformes;NA;4;1;2;1;4;16,3;6,4;5;3,4;21;153,2;65,9;87,4;42,7;104;77,7;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Aerial;-30,76;16,18;-5,81;22,70230983;2207800,39;Extant
Caprimulgus nigrescens;Caprimulgidae;Caprimulgiformes;NA;4;1;2;1;4;16,8;7,3;3,9;2,6;13,1;138;60,7;77,3;44;95;35,7;Dunning;NA;NO;NA;NA;Rock;2;1;Carnivore;Invertivore;Aerial;-13,49;7,4;-2,15;-61,25951599;4123782,88;Extant
Caprimulgus nigriscapularis;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;18,1;7,3;4,9;2,8;16;148;62,6;85,4;42,3;119;49;Dunning;NA;NO;NA;NA;Woodland;1;2;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Caprimulgus noctitherus;Caprimulgidae;Caprimulgiformes;NA;2;0;2;0;2;17;6,8;4;2,9;16,6;132,5;57,2;75,3;43,2;125,5;36,1;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Generalist;17,94;18,19;18,03;-66,67202166;291,94;Extant
Caprimulgus nubicus;Caprimulgidae;Caprimulgiformes;NA;5;3;2;0;4;19,4;7;6,1;2,9;19,9;148;63,6;85,7;42,7;105;49,3;Dunning;NA;NO;NA;NA;Shrubland;2;2;Carnivore;Invertivore;Aerial;-3,99;31,59;6,64;42,52676215;654647,83;Extant
Caprimulgus parvulus;Caprimulgidae;Caprimulgiformes;NA;9;2;6;1;4;14,3;7,1;4,6;3,5;13,8;133,2;51,4;81,8;38,5;94,5;37;Dunning;NA;NO;NA;NA;Forest;2;2;Carnivore;Invertivore;Aerial;-37,7;10,31;-17,78;-52,58717409;6789301,91;Extant
Caprimulgus pectoralis;Caprimulgidae;Caprimulgiformes;NA;9;2;7;0;7;19,3;7,1;4,7;3,4;18,6;164,3;67;98,1;40,6;117,2;51,43;Dunning;NA;NO;NA;NA;Woodland;2;2;Carnivore;Invertivore;Generalist;NA;NA;NA;NA;NA;Extant
Caprimulgus poliocephalus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;15,7;6,7;4,4;2,5;16,5;152,5;66,5;86;43,6;110,2;41,8;Dunning;NA;NO;NA;NA;Forest;2;2;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
